Title,Name,Country,Classic,Rapid,Blitz,Age
CM,"Roux,Baptiste",France,2300,2107,2077,18
FM,"Desnica,Vladan",Serbia,2300,2292,2179,30
FM,"DiPaolo,Raffaele",Italy,2300,2265i,unrat.,57
,"Eke,Salih",Turkey,2300,2058i,2058,19
FM,"Enoeckl,Philipp",Austria,2300,2316i,2346i,42
IM,"Gasthofer,Viktor",Germany,2300,2326i,2232,66
FM,"Gubajdullin,Alexei",Fide,2300,2364,2267,45
FM,"Joshua,AP",India,2300,2186,2136i,31
FM,"Mueller,Olaf,Dr.",Germany,2300,unrat.,unrat.,57
FM,"Nefedov,Sergey",Fide,2300,2281,2227,31
FM,"PovillClaros,Xavier",Spain,2300,2160,2202i,23
,"Rittmeier,Bernhard",Germany,2300,unrat.,2200i,63
FM,"Sloth,Jorn",Denmark,2300,unrat.,unrat.,79
FM,"Tarlabasi,Emirhan",Turkey,2300,2200i,2200i,20
WGM,"TheisslPokorna,Regina",Austria,2300,2275,2250,41
FM,"Trifan,AndreiIoan",Germany,2300,2208i,2208i,19
FM,"Dehtiarov,Roman",Ukraine,2300,2197,2162,15
,"Burstein,Roman",Lithuania,2300,2276i,unrat.,42
FM,"Eilers,Stefan",Germany,2300,unrat.,unrat.,56
FM,"Bandy,Attila",Hungary,2300,unrat.,2299i,44
FM,"LeCorre,Benjamin",France,2300,2293,2253i,37
FM,"Rodriguez,Adrien",France,2300,2184,2215,25
,"Paciorkowski,Lev",UnitedStates,2300,unrat.,unrat.,24
FM,"Barzen,Pascal",Germany,2300,2222i,2377,28
FM,"EscartinLacasa,Jose",Spain,2300,2177,2177i,19
WGM,"Belenkaya,Dina",Israel,2300,2163i,2208,30
IM,"Knoll,Hermann",Austria,2300,2306i,2264i,52
FM,"Wukits,Rene",Austria,2300,2224i,2292,51
IM,"Vyskocil,Neklan",CzechRepublic,2300,2334i,2192,51
FM,"Delaney,Killian",Ireland,2300,2234,2234,38
,"Gloser,David",CzechRepublic,2300,2172,2190,21
FM,"Litwak,Aleksej",Germany,2300,2341i,2242,40
FM,"Neukirchner,Pascal",Germany,2300,2292i,2219,24
FM,"Poulsen,Martin",FaroeIslands,2300,2239,2235,39
FM,"Suvorov,Luca",Germany,2300,2203,2202i,20
FM,"Zimmermann,Julian",Germany,2300,2259i,2213i,40
FM,"Cop,Tomislav",Croatia,2300,2278i,2238,52
FM,"Lamorelle,Julien",France,2301,2234,2234,42
FM,"Machidon,Cristi","Moldova,Republicof",2301,2400,2342,25
FM,"Mateus,Alejandro",Colombia,2301,2213,2217,37
FM,"Panic,Milan",Serbia,2301,2246i,unrat.,47
,"Vutov,Mario",Bulgaria,2301,2272,2326,49
FM,"Tovilovic,Milomir",Serbia,2301,2230,2285,52
FM,"Uruci,Endrit",,2301,2296,2303,23
IM,"Zelic,Zdravko",Croatia,2301,2399i,2407i,64
IM,"Korniushin,Nikolay",Fide,2301,2282,2320,46
FM,"Skuhala,Jernej",Slovenia,2301,2245,2422,25
FM,"Cvitan,Ena",Croatia,2301,2139i,2171,22
CM,"Pein,Jonathan",England,2301,2050,2151,25
FM,"Rijnaarts,Sjef",Netherlands,2301,unrat.,2239i,39
IM,"Wiersma,Eelke",Netherlands,2301,unrat.,unrat.,50
,"DelgadoRomero,Marco",Peru,2301,2244,2189,24
FM,"Dixit,Arun",UnitedStates,2301,unrat.,unrat.,18
FM,"Balduan,Markus",Germany,2301,2315i,2265i,49
IM,"Chiku-Ratte,Olivier-Kenta",Canada,2301,2266i,2355,24
CM,"Wiegmann,Sascha",Germany,2301,unrat.,unrat.,38
FM,"AlfaroRojas,AlfonsoJose",CostaRica,2301,unrat.,2332i,34
FM,"Gallasch,Jonas",Germany,2301,unrat.,2167,18
IM,"Shvidler,Eliahu",Israel,2301,2365i,unrat.,64
